yomi	candidate	freq	left_connection_id	right_connection_id
、	，	15	175	3
、	、	0	232	281
。	。	0	231	280
ぁて	ぁて	0	29	206
あ	あ	0	39	186
あそび	あそび	190	201	39
あたり	あたり	95	201	39
い	い	0	26	152
い	い	0	33	152
い	い	0	34	155
い	い	0	65	99
い	い	0	65	179
い	い	0	241	194
い	い	0	242	164
い	い	0	243	163
い	い	0	250	162
い	い	0	250	169
いき	いき	0	208	39
いただ	いただ	0	68	85
いな	いな	0	65	264
いらっしゃ	いらっしゃ	0	67	118
いろ	いろ	206	201	39
う	う	0	28	172
う	う	0	50	148
う	う	0	51	147
う	う	0	250	161
うる	うる	0	52	161
うること	うること	0	52	283
うるところ	うるところ	0	52	286
うるわけ	うるわけ	0	52	288
え	え	0	250	141
お	お	0	65	85
お	お	0	65	92
お	お	0	250	166
おどり	おどり	79	201	39
おろし	おろし	95	201	39
か	か	0	25	174
か	か	0	91	227
か	か	0	166	230
か	か	0	240	165
か	か	0	242	165
かぁ	かぁ	0	166	294
かあ	かあ	0	166	294
かかり	かかり	0	201	39
かしら	かしら	0	92	292
かしらぁ	かしらぁ	0	92	294
かっ	かっ	0	26	168
かっ	かっ	0	33	168
かっ	かっ	0	34	168
かどうか	かどうか	0	91	232
かない	かない	0	33	155
かなかっ	かなかっ	0	33	168
かなかろ	かなかろ	0	33	167
かなく	かなく	0	33	173
かね	かね	0	47	179
かも	かも	0	167	223
かもしれない	かもしれない	0	167	155
かもしれぬ	かもしれぬ	0	167	150
かもしれませぬ	かもしれませぬ	0	167	150
かもしれません	かもしれません	0	167	150
かもしれん	かもしれん	0	167	150
かもしんない	かもしんない	0	167	155
から	から	0	25	176
から	から	0	93	254
から	から	0	94	204
かれ	かれ	0	25	178
かろ	かろ	0	26	167
かろ	かろ	0	33	167
かろ	かろ	0	34	167
が	が	0	32	92
が	が	0	95	263
が	が	0	96	214
が	が	0	243	165
がけ	がけ	31	201	39
がしかし	がしかし	0	96	67
がた	がた	79	45	76
がち	がち	126	201	39
がち	がち	126	201	123
がてら	がてら	0	159	200
がめ	がめ	47	201	39
き	き	0	25	177
き	き	0	53	92
き	き	0	65	110
き	き	0	240	162
き	き	0	242	162
き	き	0	242	169
きゃ	きゃ	0	25	215
きゃ	きゃ	0	33	215
きゃ	きゃ	0	34	215
きり	きり	0	53	287
きり	きり	0	97	240
ぎ	ぎ	0	243	162
ぎ	ぎ	0	243	169
く	く	0	26	173
く	く	0	33	173
く	く	0	34	173
く	く	0	240	161
く	く	0	242	161
くせに	くせに	0	98	217
くださ	くださ	0	68	118
くださいながら	くださいながら	0	68	199
くだり	くだり	95	201	39
くらい	くらい	0	99	226
くる	くる	0	65	161
くれ	くれ	0	65	144
くれ	くれ	0	66	140
くれ	くれ	0	66	179
くん	くん	63	204	44
くん	くん	0	65	160
くんたら	くんたら	31	204	209
くんち	くんち	31	204	37
くんてば	くんてば	31	204	215
くんとこ	くんとこ	31	204	286
くんところ	くんところ	15	204	286
くんな	くんな	0	66	190
ぐ	ぐ	0	243	161
ぐさ	ぐさ	63	49	39
ぐつ	ぐつ	47	201	39
ぐらい	ぐらい	0	99	226
ぐるい	ぐるい	15	201	101
ぐるみ	ぐるみ	15	201	39
け	け	0	240	141
け	け	0	242	141
けど	けど	0	101	211
けれ	けれ	0	26	144
けれ	けれ	0	33	144
けれ	けれ	0	34	144
けれど	けれど	0	101	211
げ	げ	15	23	122
げ	げ	0	243	141
げんか	げんか	63	201	39
こ	こ	0	65	109
こ	こ	0	240	166
こ	こ	0	242	166
こい	こい	0	65	140
こそ	こそ	0	102	220
こそあれ	こそあれ	0	102	149
こそすれ	こそすれ	0	102	149
こったい	こったい	0	87	274
こっちゃ	こっちゃ	0	87	276
こと	こと	0	87	283
ご	ご	0	243	166
ごこち	ごこち	47	201	39
ごころ	ごころ	0	201	39
ござ	ござ	0	70	118
ごし	ごし	0	201	39
ごと	ごと	63	201	39
ごとき	ごとき	0	36	159
ごとく	ごとく	0	35	173
ごとし	ごとし	0	35	175
ごらん	ごらん	0	66	105
ごろ	ごろ	0	201	39
さ	さ	0	24	37
さ	さ	0	25	282
さ	さ	0	33	282
さ	さ	0	168	269
さ	さ	0	235	115
さ	さ	0	236	115
さ	さ	0	237	115
さ	さ	0	238	115
さ	さ	0	244	165
さぁ	さぁ	0	168	294
さあ	さあ	0	168	294
さえ	さえ	0	103	245
させ	させ	0	54	97
さま	さま	47	204	44
され	され	0	55	96
さん	さん	126	204	44
さん	さん	0	205	44
さんたら	さんたら	15	204	209
さんち	さんち	15	204	37
さんてば	さんてば	15	204	215
さんとこ	さんとこ	15	204	286
さんところ	さんところ	15	204	286
ざかり	ざかり	0	201	39
ざき	ざき	0	201	39
ざま	ざま	47	49	39
ざる	ざる	0	58	157
ざれ	ざれ	0	58	144
し	し	0	27	175
し	し	0	104	216
し	し	0	235	112
し	し	0	236	111
し	し	0	237	113
し	し	0	238	114
し	し	0	244	162
し	し	0	244	164
し	し	0	244	169
しぃ	しぃ	0	104	216
しか	しか	0	105	246
しな	しな	47	49	39
しぼり	しぼり	47	201	39
しま	しま	0	66	93
しめ	しめ	0	56	98
しろ	しろ	0	235	140
しろ	しろ	0	236	140
しろ	しろ	0	237	140
しろ	しろ	0	238	140
しー	しー	0	104	216
じ	じ	0	239	111
じまい	じまい	79	201	39
じまっ	じまっ	0	64	164
じめ	じめ	0	201	39
じゃ	じゃ	0	44	93
じゃ	じゃ	0	106	276
じゃあ	じゃあ	0	106	277
じゃん	じゃん	0	172	271
じよ	じよ	0	239	171
じる	じる	0	239	161
じるし	じるし	47	201	39
じれ	じれ	0	239	144
じろ	じろ	0	239	140
す	す	0	72	138
す	す	0	236	293
す	す	0	244	161
すぎ	すぎ	95	201	39
すぎ	すぎ	0	57	170
すぎ	すぎ	0	57	291
すぎなさんな	すぎなさんな	0	57	264
すべき	すべき	0	235	119
すべく	すべく	0	235	46
すべし	すべし	0	235	149
すら	すら	0	107	244
する	する	0	235	161
する	する	0	236	161
する	する	0	237	161
する	する	0	238	161
すれ	すれ	0	235	144
すれ	すれ	0	236	144
すれ	すれ	0	237	144
すれ	すれ	0	238	144
すん	すん	0	235	160
すん	すん	0	238	160
ず	ず	0	58	158
ず	ず	0	239	161
ず	ず	0	239	293
