yomi	candidate	freq	left_connection_id	right_connection_id
ぶるどーざー	ブルドーザー	1000	190	37
にこなま	ニコ生	1000	190	37
にこどう	ニコ動	1000	190	37
ひかきん	ヒカキン	1000	190	45
もんすと	モンスト	1000	190	101
にんてんどう	任天堂	1000	190	37
ぱずどら	パズドラ	1000	190	101
あくせられーた	アクセラレータ	1000	190	37
いんきゅべーた	インキュベータ	1000	190	37
きずなあい	キズナアイ	1000	190	45
ぶいちゅーばー	ブイチューバー	1000	190	37
めたばーす	メタバース	1000	190	37
ぜってりあ	ゼッテリア	300	190	37
あべのみくす	アベノミクス	300	190	37
にっぽんゆうせいこうしゃ	日本郵政公社	0	190	45
にっぽんゆうせい	日本郵政	0	190	45
にほんゆうせい	日本郵政	0	190	45
にっぽんゆうびん	日本郵便	0	190	45
にほんゆうびん	日本郵便	0	190	45
つきの	月ノ	80	190	40
みと	美兎	160	190	40
けんもち	剣持	160	190	40
とうや	刀也	160	190	40
つきのみと	月ノ美兎	300	190	40
けんもちとうや	剣持刀也	300	190	40
ほうしょう	宝鐘	80	190	40
まりん	マリン	80	190	40
ほしまち	星街	80	190	40
すいせい	すいせい	31	190	40
うさだ	兎田	80	190	40
ぺこら	ぺこら	31	190	40
じゅうふうてい	儒烏風亭	80	190	40
そちにゅういん	措置入院	79	190	101
いりょうほごにゅういん	医療保護入院	79	190	101
いまざとすじせん	今里筋線	0	190	37
ふくとしんせん	副都心線	0	190	37
かみいいだせん	上飯田線	0	190	37
さくらどおりせん	桜通線	0	190	37
つるまいせん	鶴舞線	0	190	37
しおりは	栞葉	80	190	40
いなみらい	伊波ライ	80	190	40
いなみ	伊波	80	190	40
らい	らい	31	190	40
すおう	周央	31	190	40
すおう	ハンギョドン	31	190	40
すおう	周央	31	190	40
