stem_offset	yomi	candidate	freq	left_connection_id	right_connection_id	yomi_len	candidate_len
0	、	、	47	190	33	1	1
3	、	,	0	190	3	1	1
8	、	、	0	190	281	1	1
11	。	。	47	190	33	1	1
14	。	。	0	190	280	1	1
17	あ	あ	380	190	186	1	1
20	あ	会	222	190	93	1	1
25	あ	合	206	190	93	1	1
30	あ	有	190	190	186	1	1
35	あ	逢	190	190	93	1	1
40	あ	在	174	190	186	1	1
45	あ	遇	174	190	93	1	1
50	あ	遭	158	190	93	1	1
55	あ	あ	142	190	93	1	1
58	あ	編	142	190	91	1	1
63	あ	空	126	190	85	1	1
68	あ	あ	79	190	66	1	1
71	あ	開	79	190	85	1	1
76	あ	ア	63	190	66	1	1
79	あ	明	63	190	85	1	1
84	あ	飽	47	190	85	1	1
89	ああ	ああ	79	190	66	2	2
92	ああ	ああ	63	190	62	2	2
95	ああ	アア	63	190	66	2	2
98	ああ	嗚呼	47	190	66	2	2
105	ああいう	ああいう	142	190	64	4	4
108	ああいう	ああいう	126	190	65	4	4
111	ああした	ああした	79	190	64	4	4
114	ああして	ああして	79	190	61	4	4
117	ああだこうだ	ああだこうだ	0	190	131	6	6
120	ああな	ああな	79	190	92	3	3
123	あい	愛	222	190	40	2	1
128	あい	愛	222	190	101	2	1
133	あい	あい	190	190	37	2	2
136	あい	アイ	174	190	37	2	2
139	あい	藍	174	190	37	2	1
144	あい	間	158	190	37	2	1
149	あい	愛	142	190	87	2	1
154	あいあいがさ	相合い傘	126	190	37	6	4
165	あいあわれ	相憐れ	0	190	91	5	3
174	あいあん	アイアン	79	190	37	4	4
177	あいいれ	相容れ	63	190	94	4	3
186	あいいろ	藍色	142	190	37	4	2
193	あいう	相打	79	190	88	3	2
200	あいう	相撃	63	190	88	3	2
207	あいう	相討	63	190	88	3	2
214	あいうぇあ	アイウェア	0	190	37	5	5
217	あいうち	相討ち	79	190	101	4	3
226	あいうち	相打ち	63	190	101	4	3
235	あいうち	相撃ち	47	190	101	4	3
244	あいえん	愛煙	79	190	37	4	2
251	あいえんか	愛煙家	63	190	41	5	3
260	あいかぎ	合鍵	222	190	37	4	2
267	あいかぎ	合カギ	206	190	37	4	3
276	あいかぎ	合い鍵	190	190	37	4	3
285	あいかた	相方	158	190	37	4	2
292	あいかた	合方	142	190	37	4	2
299	あいかわ	愛川	79	190	40	4	2
306	あいかわ	相川	63	190	40	4	2
313	あいかわ	相川	15	190	37	4	2
320	あいかわらず	相変わらず	253	190	61	6	5
333	あいかわらず	あい変わらず	238	190	61	6	6
348	あいがも	合鴨	79	190	37	4	2
355	あいがん	哀願	222	190	101	4	2
362	あいがん	愛玩	206	190	101	4	2
369	あいきどう	合気道	126	190	37	5	3
378	あいきょう	愛嬌	206	190	37	5	2
385	あいきょう	愛敬	190	190	37	5	2
392	あいきょう	愛郷	126	190	37	5	2
399	あいくるし	愛くるし	47	190	77	5	4
410	あいくるし	あいくるし	31	190	77	5	5
413	あいけん	愛犬	142	190	37	4	2
420	あいこ	愛子	63	190	40	3	2
427	あいこう	愛好	142	190	101	4	2
434	あいこうか	愛好家	142	190	41	5	3
443	あいこうかい	愛好会	79	190	37	6	3
452	あいこうしゃ	愛好者	79	190	41	6	3
461	あいこく	愛国	222	190	37	4	2
468	あいことば	合言葉	126	190	37	5	3
477	あいことば	合い言葉	111	190	37	5	4
488	あいこん	アイコン	222	190	37	4	4
491	あいこんたくと	アイコンタクト	0	190	101	7	7
494	あいご	愛護	222	190	101	3	2
501	あいさい	愛妻	222	190	37	4	2
508	あいさいか	愛妻家	222	190	41	5	3
517	あいさつ	挨拶	222	190	101	4	2
524	あいさつ	あいさつ	206	190	101	4	4
527	あいさつじょう	挨拶状	47	190	37	7	3
536	あいざわ	相沢	63	190	40	4	2
543	あいざわ	相澤	63	190	40	4	2
550	あいざわ	会沢	47	190	40	4	2
557	あいしあ	愛し合	47	190	93	4	3
566	あいしあ	愛しあ	31	190	93	4	3
575	あいしゃ	愛車	142	190	37	4	2
582	あいしゃ	愛社	126	190	37	4	2
589	あいしゃどー	アイシャドー	47	190	37	6	6
592	あいしゅう	哀愁	206	190	37	5	2
599	あいしょう	愛称	253	190	37	5	2
606	あいしょう	相性	206	190	37	5	2
613	あいしょう	愛唱	126	190	101	5	2
620	あいしんぐ	アイシング	0	190	101	5	5
623	あいじ	愛児	79	190	41	3	2
630	あいじゃく	愛着	126	190	101	5	2
