stem_offset	yomi	candidate	freq	left_connection_id	right_connection_id	yomi_len	candidate_len
0	あ	亜	15	186	32	1	1
3	あ	亞	0	186	32	1	1
6	あ	吾	0	186	32	1	1
9	あ	唖	0	186	32	1	1
12	あ	堊	0	186	32	1	1
15	あ	娃	0	186	32	1	1
18	あ	婀	0	186	32	1	1
21	あ	會	0	186	32	1	1
24	あ	椏	0	186	32	1	1
27	あ	痾	0	186	32	1	1
30	あ	蛙	0	186	32	1	1
33	あ	襾	0	186	32	1	1
36	あ	錏	0	186	32	1	1
39	あ	鐚	0	186	32	1	1
42	あ	閼	0	186	32	1	1
45	あ	阿	0	186	32	1	1
48	あ	鴉	0	186	32	1	1
53	ああ	吁	0	186	32	2	1
59	あい	哀	15	186	32	2	1
62	あい	愛	15	186	32	2	1
65	あい	相	15	186	32	2	1
68	あい	合	0	186	32	2	1
71	あい	哇	0	186	32	2	1
74	あい	噫	0	186	32	2	1
77	あい	埃	0	186	32	2	1
80	あい	姶	0	186	32	2	1
83	あい	娃	0	186	32	2	1
86	あい	挨	0	186	32	2	1
89	あい	曖	0	186	32	2	1
92	あい	欸	0	186	32	2	1
95	あい	矮	0	186	32	2	1
98	あい	穢	0	186	32	2	1
101	あい	藍	0	186	32	2	1
104	あい	藹	0	186	32	2	1
107	あい	逢	0	186	32	2	1
110	あい	間	0	186	32	2	1
113	あい	阨	0	186	32	2	1
116	あい	隘	0	186	32	2	1
119	あい	靄	0	186	32	2	1
122	あい	靉	0	186	32	2	1
125	あい	鞋	0	186	32	2	1
131	あいだ	間	15	186	32	3	1
138	あえ	饗	0	186	32	2	1
144	あお	青	15	186	32	2	1
147	あお	碧	0	186	32	2	1
150	あお	蒼	0	186	32	2	1
156	あおい	葵	0	186	32	3	1
163	あおがえる	黽	0	186	32	5	1
172	あおき	檍	0	186	32	3	1
179	あおぎり	梧	0	186	32	4	1
187	あおぐろ	黝	0	186	32	4	1
195	あか	赤	15	186	32	2	1
198	あか	丹	0	186	32	2	1
201	あか	垢	0	186	32	2	1
204	あか	朱	0	186	32	2	1
207	あか	淦	0	186	32	2	1
210	あか	緋	0	186	32	2	1
213	あか	赭	0	186	32	2	1
219	あかがね	銅	0	186	32	4	1
227	あかぎれ	皸	0	186	32	4	1
230	あかぎれ	皹	0	186	32	4	1
238	あかざ	藜	0	186	32	3	1
245	あかし	灯	0	186	32	3	1
248	あかし	証	0	186	32	3	1
251	あかし	證	0	186	32	3	1
258	あかつき	暁	15	186	32	4	1
261	あかつき	曉	0	186	32	4	1
269	あかつち	赭	0	186	32	4	1
277	あかね	茜	0	186	32	3	1
284	あかり	灯	0	186	32	3	1
291	あがた	県	0	186	32	3	1
294	あがた	縣	0	186	32	3	1
301	あがな	贖	0	186	32	3	1
308	あき	秋	15	186	32	2	1
311	あき	穐	15	186	32	2	1
314	あき	光	0	186	32	2	1
317	あき	彬	0	186	32	2	1
320	あき	彰	0	186	32	2	1
323	あき	昌	0	186	32	2	1
326	あき	明	0	186	32	2	1
329	あき	映	0	186	32	2	1
332	あき	昭	0	186	32	2	1
335	あき	晃	0	186	32	2	1
338	あき	晄	0	186	32	2	1
341	あき	晶	0	186	32	2	1
344	あき	暁	0	186	32	2	1
347	あき	暎	0	186	32	2	1
350	あき	曉	0	186	32	2	1
353	あき	章	0	186	32	2	1
356	あき	精	0	186	32	2	1
359	あき	諒	0	186	32	2	1
362	あき	陽	0	186	32	2	1
365	あき	顕	0	186	32	2	1
368	あき	顯	0	186	32	2	1
371	あき	龝	0	186	32	2	1
377	あきら	丹	0	186	32	3	1
380	あきら	了	0	186	32	3	1
383	あきら	亨	0	186	32	3	1
386	あきら	亮	0	186	32	3	1
389	あきら	侃	0	186	32	3	1
392	あきら	光	0	186	32	3	1
395	あきら	叡	0	186	32	3	1
398	あきら	哲	0	186	32	3	1
401	あきら	啓	0	186	32	3	1
404	あきら	察	0	186	32	3	1
407	あきら	審	0	186	32	3	1
410	あきら	彪	0	186	32	3	1
413	あきら	彬	0	186	32	3	1
416	あきら	彰	0	186	32	3	1
419	あきら	旦	0	186	32	3	1
422	あきら	旭	0	186	32	3	1
425	あきら	旺	0	186	32	3	1
428	あきら	昂	0	186	32	3	1
431	あきら	昌	0	186	32	3	1
434	あきら	明	0	186	32	3	1
437	あきら	昭	0	186	32	3	1
440	あきら	晃	0	186	32	3	1
443	あきら	晄	0	186	32	3	1
446	あきら	晟	0	186	32	3	1
449	あきら	晶	0	186	32	3	1
452	あきら	暁	0	186	32	3	1
455	あきら	暉	0	186	32	3	1
458	あきら	曉	0	186	32	3	1
461	あきら	曙	0	186	32	3	1
464	あきら	朖	0	186	32	3	1
467	あきら	朗	0	186	32	3	1
470	あきら	滉	0	186	32	3	1
473	あきら	爽	0	186	32	3	1
476	あきら	玲	0	186	32	3	1
479	あきら	白	0	186	32	3	1
482	あきら	的	0	186	32	3	1
485	あきら	皓	0	186	32	3	1
488	あきら	省	0	186	32	3	1
491	あきら	睿	0	186	32	3	1
494	あきら	瞭	0	186	32	3	1
497	あきら	瞳	0	186	32	3	1
500	あきら	章	0	186	32	3	1
503	あきら	精	0	186	32	3	1
506	あきら	耀	0	186	32	3	1
509	あきら	聡	0	186	32	3	1
512	あきら	聰	0	186	32	3	1
515	あきら	著	0	186	32	3	1
518	あきら	見	0	186	32	3	1
521	あきら	覚	0	186	32	3	1
524	あきら	諒	0	186	32	3	1
527	あきら	輝	0	186	32	3	1
530	あきら	鑑	0	186	32	3	1
533	あきら	陽	0	186	32	3	1
536	あきら	顕	0	186	32	3	1
539	あきら	顯	0	186	32	3	1
542	あきら	麗	0	186	32	3	1
549	あぎと	腮	0	186	32	3	1
