stem_offset	yomi	candidate	freq	left_connection_id	right_connection_id	yomi_len	candidate_len
0	ふん	分	984	219	80	2	1
10	がつ	月	984	220	80	2	1
20	にち	日	984	220	80	2	1
30	ねん	年	984	220	80	2	1
40	じ	時	984	225	80	1	1
50	た	た	968	60	151	1	1
60	いる	いる	968	65	161	2	2
70	の	の	968	136	262	1	1
80	は	は	968	143	224	1	1
90	じかん	時間	968	225	80	3	2
100	な	な	952	6	128	1	1
110	に	に	952	8	134	1	1
120	います	います	952	65	145	3	3
130	いた	いた	952	65	151	2	2
140	に	に	952	132	259	1	1
150	えん	円	952	214	80	2	1
160	ばん	番	952	218	80	2	1
170	まい	枚	952	221	80	2	1
180	かい	回	952	222	80	2	1
190	さい	歳	952	223	80	2	1
200	し	し	952	235	112	1	1
210	する	する	952	235	161	2	2
220	いて	いて	936	65	206	2	2
230	ます	ます	936	81	145	2	2
240	しゅう	週	936	215	80	3	1
250	しゅうかん	週間	936	215	80	5	2
260	い	位	936	218	80	1	1
270	ばい	倍	936	218	101	2	1
280	ひき	匹	936	219	80	2	1
290	ほん	本	936	219	80	2	1
300	にん	人	936	220	80	2	1
310	だい	台	936	221	80	2	1
320	ど	度	936	221	80	1	1
330	ぽん	本	936	226	80	2	1
340	ごろ	頃	936	230	39	2	1
350	した	した	936	235	151	2	2
360	できる	できる	936	235	161	3	3
370	して	して	936	235	206	2	2
380	。	。	936	251	280	1	1
390	？	？	936	251	280	1	1
400	、	、	936	251	281	1	1
410	いました	いました	920	65	151	4	4
420	が	が	920	95	263	1	1
430	を	を	920	156	257	1	1
440	おく	億	920	183	30	2	1
450	まん	万	920	183	30	2	1
460	きろ	キロ	920	211	82	2	2
470	はい	敗	920	219	80	2	1
480	/	/	920	220	80	1	1
490	めい	名	920	221	80	2	1
500	てん	点	920	222	80	2	1
510	しょう	勝	920	223	80	3	1
520	:	:	920	225	80	1	1
530	いじょう	以上	920	229	39	4	2
540	いない	以内	920	229	39	3	2
550	はん	半	920	230	39	2	1
560	します	します	920	235	145	3	3
570	しない	しない	920	235	155	3	3
580	でき	でき	920	235	179	2	2
590	ください	ください	904	68	194	4	4
600	です	です	904	71	138	2	2
610	ました	ました	904	81	151	3	3
620	と	と	904	122	251	1	1
630	され	され	904	235	96	2	2
640	させ	させ	904	235	97	2	2
650	しろ	しろ	904	235	140	2	2
660	しました	しました	904	235	151	4	4
670	さん	さん	888	204	44	2	2
680	ご	後	888	230	39	1	1
690	ちゅう	中	888	230	39	3	1
700	まえ	前	888	230	39	2	1
710	しよう	しよう	888	235	147	3	3
720	してた	してた	888	235	151	3	3
730	したい	したい	888	235	152	3	3
740	してる	してる	888	235	161	3	3
750	ない	ない	873	75	155	2	2
760	て	て	873	117	206	1	1
770	くん	君	873	204	44	2	1
780	ごう	号	873	218	80	2	1
790	とう	頭	873	222	80	2	1
800	め	目	873	230	39	1	1
810	だい	台	857	230	39	2	1
820	さい	才	841	223	80	2	1
830	いこう	以降	841	230	39	3	2
840	で	で	809	14	136	1	1
850	で	で	809	64	180	1	1
860	で	で	809	118	255	1	1
870	で	で	809	119	206	1	1
880	けど	けど	793	101	211	2	2
890	も	も	777	149	222	1	1
900	かい	階	777	222	80	2	1
910	！	！	777	251	280	1	1
920	ちゃん	ちゃん	761	204	44	3	3
930	くみ	組	761	217	80	2	1
940	る	る	761	234	161	1	1
950	い	い	746	26	152	1	1
960	って	って	746	116	213	2	2
970	か	か	730	166	230	1	1
980	だ	だ	714	5	131	1	1
990	だ	だ	714	14	131	1	1
1000	だ	だ	714	61	151	1	1
1010	んだ	んだ	714	157	131	2	2
1020	ね	ね	698	163	268	1	1
1030	んだけど	んだけど	682	157	211	4	4
1040	よ	よ	650	164	266	1	1
1050	だけど	だけど	634	14	211	3	3
1060	から	から	634	93	254	2	2
1070	たち	達	634	203	43	2	1
1080	か	課	634	222	80	1	1
1090	ので	ので	619	140	218	2	2
1100	たち	たち	619	203	43	2	2
1110	きょく	曲	619	222	80	3	1
1120	い	い	603	34	155	1	1
