stem_offset	yomi	candidate	freq	left_connection_id	right_connection_id	yomi_len	candidate_len
592838656	、	、	1000	232	281	1	1
592314369	、	、	999	232	281	1	1
591396866	、	、	997	232	281	1	1
589824003	、	、	994	232	281	1	1
588251140	、	、	992	232	281	1	1
580386821	、	、	978	232	281	1	1
577896454	、	、	974	232	281	1	1
576847879	、	、	973	232	281	1	1
576716808	、	、	972	232	281	1	1
576192521	、	、	971	232	281	1	1
562298890	、	、	948	232	281	1	1
561905675	、	、	947	232	281	1	1
560201740	、	、	944	232	281	1	1
558891021	、	、	942	232	281	1	1
557580302	、	、	940	232	281	1	1
556269583	、	、	938	232	281	1	1
556138512	、	、	938	232	281	1	1
554827793	、	、	935	232	281	1	1
554696722	、	、	935	232	281	1	1
553254931	、	、	933	232	281	1	1
551813140	、	、	930	232	281	1	1
551026709	、	、	929	232	281	1	1
550502422	、	、	928	232	281	1	1
549978135	、	、	927	232	281	1	1
548667416	、	、	925	232	281	1	1
545521689	、	、	920	232	281	1	1
545259546	、	、	919	232	281	1	1
545128475	、	、	919	232	281	1	1
542507036	、	、	915	232	281	1	1
539099165	、	、	909	232	281	1	1
538705950	、	、	908	232	281	1	1
537919519	、	、	907	232	281	1	1
533856288	、	、	900	232	281	1	1
533463073	、	、	899	232	281	1	1
533332002	、	、	899	232	281	1	1
532283427	、	、	897	232	281	1	1
530317348	、	、	894	232	281	1	1
525729829	、	、	886	232	281	1	1
525336614	、	、	886	232	281	1	1
523108391	、	、	882	232	281	1	1
517931048	、	、	873	232	281	1	1
517144617	、	、	872	232	281	1	1
515047466	、	、	868	232	281	1	1
513736747	、	、	866	232	281	1	1
511770668	、	、	863	232	281	1	1
511115309	、	、	862	232	281	1	1
499974190	、	、	843	232	281	1	1
499580975	、	、	842	232	281	1	1
497483824	、	、	839	232	281	1	1
495648817	、	、	836	232	281	1	1
495124530	、	、	835	232	281	1	1
488177715	、	、	823	232	281	1	1
485556276	、	、	819	232	281	1	1
484900917	、	、	817	232	281	1	1
482803766	、	、	814	232	281	1	1
482148407	、	、	813	232	281	1	1
481099832	、	、	811	232	281	1	1
479920185	、	、	809	232	281	1	1
479395898	、	、	808	232	281	1	1
478871611	、	、	807	232	281	1	1
478609468	、	、	807	232	281	1	1
477036605	、	、	804	232	281	1	1
475594814	、	、	802	232	281	1	1
471662655	、	、	795	232	281	1	1
471007296	、	、	794	232	281	1	1
468648001	、	、	790	232	281	1	1
463667266	、	、	782	232	281	1	1
463011907	、	、	781	232	281	1	1
462618692	、	、	780	232	281	1	1
462487621	、	、	780	232	281	1	1
461963334	、	、	779	232	281	1	1
458162247	、	、	772	232	281	1	1
456720456	、	、	770	232	281	1	1
451084361	、	、	760	232	281	1	1
450560074	、	、	760	232	281	1	1
449773643	、	、	758	232	281	1	1
448462924	、	、	756	232	281	1	1
447283277	、	、	754	232	281	1	1
442433614	、	、	746	232	281	1	1
440074319	、	、	742	232	281	1	1
437452880	、	、	737	232	281	1	1
437190737	、	、	737	232	281	1	1
436797522	、	、	736	232	281	1	1
436535379	、	、	736	232	281	1	1
436011092	、	、	735	232	281	1	1
435355733	、	、	734	232	281	1	1
435224662	、	、	734	232	281	1	1
427360343	、	、	720	232	281	1	1
424476760	、	、	716	232	281	1	1
421199961	、	、	710	232	281	1	1
417661018	、	、	704	232	281	1	1
414646363	、	、	699	232	281	1	1
414253148	、	、	698	232	281	1	1
413728861	、	、	697	232	281	1	1
413597790	、	、	697	232	281	1	1
408485983	、	、	689	232	281	1	1
407175264	、	、	686	232	281	1	1
406257761	、	、	685	232	281	1	1
404553826	、	、	682	232	281	1	1
400883811	、	、	676	232	281	1	1
400621668	、	、	675	232	281	1	1
395772005	、	、	667	232	281	1	1
391839846	、	、	660	232	281	1	1
390135911	、	、	658	232	281	1	1
387907688	、	、	654	232	281	1	1
384106601	、	、	647	232	281	1	1
381354090	、	、	643	232	281	1	1
380698731	、	、	642	232	281	1	1
363397228	、	、	612	232	281	1	1
361824365	、	、	610	232	281	1	1
359596142	、	、	606	232	281	1	1
356057199	、	、	600	232	281	1	1
350552176	、	、	591	232	281	1	1
350290033	、	、	590	232	281	1	1
348192882	、	、	587	232	281	1	1
347144307	、	、	585	232	281	1	1
345440372	、	、	582	232	281	1	1
342425717	、	、	577	232	281	1	1
342032502	、	、	576	232	281	1	1
341639287	、	、	576	232	281	1	1
337707128	、	、	569	232	281	1	1
336134265	、	、	566	232	281	1	1
321847418	、	、	542	232	281	1	1
320929915	、	、	541	232	281	1	1
311230588	、	、	524	232	281	1	1
306380925	、	、	516	232	281	1	1
305463422	、	、	515	232	281	1	1
302841983	、	、	510	232	281	1	1
291045504	、	、	490	232	281	1	1
286720129	、	、	483	232	281	1	1
286457986	、	、	483	232	281	1	1
280690819	、	、	473	232	281	1	1
275185796	、	、	464	232	281	1	1
269418629	、	、	454	232	281	1	1
252117126	、	、	425	232	281	1	1
239534215	、	、	404	232	281	1	1
236519560	、	、	398	232	281	1	1
236126345	、	、	398	232	281	1	1
232456330	、	、	392	232	281	1	1
232063115	、	、	391	232	281	1	1
231145612	、	、	389	232	281	1	1
229703821	、	、	387	232	281	1	1
225378446	、	、	380	232	281	1	1
223281295	、	、	376	232	281	1	1
221446288	、	、	373	232	281	1	1
218169489	、	、	368	232	281	1	1
217645202	、	、	367	232	281	1	1
204144787	、	、	344	232	281	1	1
199032980	、	、	335	232	281	1	1
193659029	、	、	326	232	281	1	1
186843286	、	、	315	232	281	1	1
175177879	、	、	295	232	281	1	1
174129304	、	、	293	232	281	1	1
173736089	、	、	293	232	281	1	1
173342874	、	、	292	232	281	1	1
172425371	、	、	290	232	281	1	1
172294300	、	、	290	232	281	1	1
171376797	、	、	289	232	281	1	1
169410718	、	、	285	232	281	1	1
168493215	、	、	284	232	281	1	1
167444640	、	、	282	232	281	1	1
167051425	、	、	281	232	281	1	1
163119266	、	、	275	232	281	1	1
161153187	、	、	271	232	281	1	1
159318180	、	、	268	232	281	1	1
158400677	、	、	267	232	281	1	1
156827814	、	、	264	232	281	1	1
151453863	、	、	255	232	281	1	1
149356712	、	、	251	232	281	1	1
135332009	、	、	228	232	281	1	1
133628074	、	、	225	232	281	1	1
132710571	、	、	223	232	281	1	1
131924140	、	、	222	232	281	1	1
130613421	、	、	220	232	281	1	1
129958062	、	、	219	232	281	1	1
129826991	、	、	218	232	281	1	1
128385200	、	、	216	232	281	1	1
127336625	、	、	214	232	281	1	1
126419122	、	、	213	232	281	1	1
124453043	、	、	209	232	281	1	1
124321972	、	、	209	232	281	1	1
122749109	、	、	207	232	281	1	1
119210166	、	、	201	232	281	1	1
118292663	、	、	199	232	281	1	1
117375160	、	、	197	232	281	1	1
116326585	、	、	196	232	281	1	1
112001210	、	、	188	232	281	1	1
111083707	、	、	187	232	281	1	1
105447612	、	、	177	232	281	1	1
104399037	、	、	176	232	281	1	1
104267966	、	、	175	232	281	1	1
103874751	、	、	175	232	281	1	1
103481536	、	、	174	232	281	1	1
100204737	、	、	169	232	281	1	1
97321154	、	、	164	232	281	1	1
96534723	、	、	162	232	281	1	1
96403652	、	、	162	232	281	1	1
96272581	、	、	162	232	281	1	1
92340422	、	、	155	232	281	1	1
91816135	、	、	154	232	281	1	1
91160776	、	、	153	232	281	1	1
90767561	、	、	153	232	281	1	1
90243274	、	、	152	232	281	1	1
85655755	、	、	144	232	281	1	1
84345036	、	、	142	232	281	1	1
84082893	、	、	141	232	281	1	1
79888590	、	、	134	232	281	1	1
79102159	、	、	133	232	281	1	1
78840016	、	、	132	232	281	1	1
77922513	、	、	131	232	281	1	1
76087506	、	、	128	232	281	1	1
71106771	、	、	119	232	281	1	1
68616404	、	、	115	232	281	1	1
68092117	、	、	114	232	281	1	1
67043542	、	、	113	232	281	1	1
60227799	、	、	101	232	281	1	1
57475288	、	、	96	232	281	1	1
57082073	、	、	96	232	281	1	1
54984922	、	、	92	232	281	1	1
50266331	、	、	84	232	281	1	1
48824540	、	、	82	232	281	1	1
47382749	、	、	79	232	281	1	1
47120606	、	、	79	232	281	1	1
40567007	、	、	68	232	281	1	1
40435936	、	、	68	232	281	1	1
40304865	、	、	67	232	281	1	1
33095906	、	、	55	232	281	1	1
32178403	、	、	54	232	281	1	1
28115172	、	、	47	232	281	1	1
26542309	、	、	44	232	281	1	1
25886950	、	、	43	232	281	1	1
25362663	、	、	42	232	281	1	1
24576232	、	、	41	232	281	1	1
23527657	、	、	39	232	281	1	1
23265514	、	、	39	232	281	1	1
18940139	、	、	31	232	281	1	1
18153708	、	、	30	232	281	1	1
14614765	、	、	24	232	281	1	1
14221550	、	、	23	232	281	1	1
13304047	、	、	22	232	281	1	1
11600112	、	、	19	232	281	1	1
5570801	、	、	9	232	281	1	1
3997938	、	、	6	232	281	1	1
555614451	。	。	937	231	280	1	1
548274420	。	。	924	231	280	1	1
543162613	。	。	916	231	280	1	1
540803318	。	。	912	231	280	1	1
540672247	。	。	912	231	280	1	1
532152568	。	。	897	231	280	1	1
529137913	。	。	892	231	280	1	1
526123258	。	。	887	231	280	1	1
523501819	。	。	883	231	280	1	1
523370748	。	。	882	231	280	1	1
519176445	。	。	875	231	280	1	1
514130174	。	。	867	231	280	1	1
513474815	。	。	866	231	280	1	1
513343744	。	。	865	231	280	1	1
509804801	。	。	859	231	280	1	1
485425410	。	。	818	231	280	1	1
484770051	。	。	817	231	280	1	1
471138564	。	。	794	231	280	1	1
463536389	。	。	781	231	280	1	1
462225670	。	。	779	231	280	1	1
455147783	。	。	767	231	280	1	1
451739912	。	。	761	231	280	1	1
449118473	。	。	757	231	280	1	1
448856330	。	。	757	231	280	1	1
445055243	。	。	750	231	280	1	1
444137740	。	。	749	231	280	1	1
444006669	。	。	748	231	280	1	1
439943438	。	。	742	231	280	1	1
437059855	。	。	737	231	280	1	1
434045200	。	。	732	231	280	1	1
432472337	。	。	729	231	280	1	1
427229458	。	。	720	231	280	1	1
425394451	。	。	717	231	280	1	1
414384404	。	。	698	231	280	1	1
409272597	。	。	690	231	280	1	1
403636502	。	。	680	231	280	1	1
403505431	。	。	680	231	280	1	1
389742872	。	。	657	231	280	1	1
383058201	。	。	646	231	280	1	1
375849242	。	。	633	231	280	1	1
371523867	。	。	626	231	280	1	1
371130652	。	。	626	231	280	1	1
368247069	。	。	621	231	280	1	1
368115998	。	。	620	231	280	1	1
364052767	。	。	614	231	280	1	1
358416672	。	。	604	231	280	1	1
352780577	。	。	595	231	280	1	1
348848418	。	。	588	231	280	1	1
345833763	。	。	583	231	280	1	1
